name,address,mail,website,longitude,latitude
creativhalle Neuss,"Hochhstadenstr. 13-17, 41469 Neuss, Deutschland", "creativhalle.de@gmail.com", "http://creativhalle.de",,
Cucula,"Marchlewskistraße 40, 10243 Berlin, Deutschland", "info@kinder-brauchen-matsch.de", "http://kinder-brauchen-matsch.de/aktuelles.html",,
DAI Makerspace,"Sofienstraße 12, 69115 Heidelberg, Deutschland", "makerspace@dai-heidelberg.de", "https://dai-heidelberg.de/de/bibliothek-usa-information/makerspace/",,
Das Habitat Augsburg e. V.,"Eberlestraße 29 - Haus B, 86157 Augsburg, Deutschland", "kontakt@das-habitat.de", "http://www.das-habitat.de",,
Der Radcontainer,"Prinzenstraße 35-38,, auf dem Gelände der Prinzessinnengärten, 10969 Berlin, Deutschland", "radcontainer@gmx.de", "http://radcontainer.blogsport.de/",,
Dezentrale Dortmund,"Dezentrale Dortmund, Richardstraße 18, 44137 Dortmund, Deutschland", "julia.krayer@umsicht.fraunhofer.de", "http://dezentrale-dortmund.de/",,
dezentrale e.V.,"Dreilindenstrasse 19, 04177 Leipzig, Deutschland", "vorstand@dezentrale.space", "https://dezentrale.space/",,
Die Blaue Blume e.V.,"Die Blaue Blume e.V., Fallenbrunnen 12/1, 88045 Friedrichshafen, Deutschland", "michael.henke@dieblaueblume.org", "http://www.dieblaueblume.org",,
Die GanzMacher e.V.,"Steinstraße 37, 02625 Bautzen, Deutschland", "kontakt@die-ganzmacher.de", "http://www.die-ganzmacher.de/",,
Die MachBar,"Kollektiv für wildes Denken und Machen, Die MACHBAR, Humperdinckstr. 16, 06844 Dessau-Roßlau, Deutschland", "machbar.dessau@gmail.com", "https://www.facebook.com/machbar.Dessau",,
die MOTTE e.V.,"Eulenstr. 43, 22765 Hamburg, Deutschland", "info@dieMOTTE.de", "http://www.dieMOTTE.de",,
Die Radgeber,"Leplaystraße 5, 04103 Leipzig, Deutschland", "post@radgeber-leipzig.de", "http://www.radgeber-leipzig.de",,
die urbanisten Manufaktur,"Rheinische Straße 137, 44147 Dortmund, Deutschland", "info@dieurbanisten.de", "https://dieurbanisten.de/aktionsfelder/manufaktur/",,
Die Werke Bonn - Fahrrad Selbsthilfe Werkstatt,"Heerstraße 205, 53111 Bonn, Deutschland", "rad-im-eimer@lists.posteo.de", "https://diewerkebonn.wordpress.com",,
Digitales Aachen e.V. (Digitac),"Digitales Aachen e.V., Martinstr. 10-12, 52062 Aachen, Deutschland", "vorstand@digitac.cc", "http://digitac.cc",,
Dingfabrik Köln,"Fritz-Voigt-Straße 1, 50823 Köln, Deutschland", "post@dingfabrik.de", "http://dingfabrik.de",,
DIY-Holzwerkstatt,"Am Volksgut 10, 04319 Leipzig, Deutschland", "info@diy-holzwerkstatt.de", "https://www.diy-holzwerkstatt.de",,
Do It Yourself Werkstatt Wilhelmshaven,"Do It Yourself Werkstatt Wilhelmshaven e.V., Kreuzstr. 54, 26382 Wilhelmshaven, Deutschland", "info@diyww.de", "http://www.diyww.de",,
DO!lab,"Lofererstr.12, 5760 Saalfelden, Österreich", "do@dolab.at", "http://www.dolab.at",,
Druckgrafisches Atelier,"Westermühlstraße 26, 80469 München, Deutschland", "info@druckgrafisches-atelier.de", "http://www.druckgrafisches-atelier.de",,
E-Werk Oschatz,"Lichtstrasse 1, 04758 Oschatz, Deutschland", "info@ewerk-oschatz.de", "http://www.ewerk-oschatz.de",,
ecocurious,"Kronenstraße 4, 72070 Tübingen, Deutschland", "we@ecocurious.de", "http://www.ecocurious.de",,
Eigenbaukombinat Halle e.V.,"Landsberger Straße 3, 06112 Halle (Saale), Deutschland", "info@eigenbaukombinat.de", "http://eigenbaukombinat.de",,
Fab Lab Berlin,"Open Innovation Space , Prenzlauer Allee 242, 10405 Berlin, Deutschland", "mail@fablab.berlin", "https://fablab.berlin",,
Fab Lab Fabulous St.Pauli e.V.,"Lerchenstr 16a, 22767 Hamburg, 22767 Hamburg, Deutschland", "vow@fablab-hamburg.org", "http://www.fablab-hamburg.org",,
FabLab Aachen,"RWTH Aachen University, Lehrstuhl Informatik 10, Ahornstraße, 52074 Aachen, Deutschland", "jan.thar@rwth-aachen.de", "http://hci.rwth-aachen.de/fablab",,
FabLab Bruchsal,"Werner-von-Siemens-Straße 2-6, 76646  Bruchsal, Deutschland", "verein@fablab-bruchsal.de", "http://www.fablab-bruchsal.de",,
FabLab Chemnitz,"Stadtfabrikanten e.V., Philippstrasse 13, 09130 Chemnitz, Deutschland", "Kontakt@stadtfabrikanten.org", "http://www.fablabchemnitz.de",,
FabLab Cottbus e.V.,"Walther-Pauer-Strasse 5, 03046 Cottbus, Deutschland", "info@fablab-cottbus.de", "http://www.fablab-cottbus.de",,
FabLab erfindergarden,"Tumblingerstr. 29, 80337 München, Deutschland", "play@erfindergarden.de", "http://www.erfindergarden.de",,
FabLab Frechen,"Hauptstrasse 27, 50226 Frechen, Deutschland", "info@fablab-frechen.de", "http://www.fablab-frechen.de",,
FabLab Freising e.V.,"c/o Bürgernetz Weihenstephan e.V., Gartenstraße 9, 85354 Freising, Deutschland", "info@fablab-freising.org",,
FabLab Hamm-Westfalen e.V.,"Banningstraße 15, 59067 Hamm, Deutschland", "info@fablab-hamm.de", "http://www.fablab-hamm.de",,
FabLab Hochschule Ruhr West,"Hochschule Ruhr West, Mellinghofer Straße 55, Gebäude 35, 45473 Mülheim an der Ruhr, Deutschland", "michael.schaefer@hs-ruhrwest.de", "http://fablab.hochschule-ruhr-west.de",,
FabLab Ingolstadt,"brigk Makerspace, Schollstraße 8, 85055 Ingolstadt, Deutschland", "info@fablab-ingolstadt.de", "http://www.fablab-ingolstadt.de",,
FabLab Karlsruhe e.V.,"FabLab Karlsruhe e.V., Alter Schlachthof 13a, 76131 Karlsruhe, Deutschland", "info@fablab-karlsruhe.de", "http://www.fablab-karlsruhe.de",,
FabLab Kiel,"Fraunhoferstraße 2-4, 24118 Kiel, Deutschland", "info@fablab.sh", "http://www.fablab.sh",,
FabLab Landkreis Fürth e. V.,"Siegelsdorfer Straße 24, 90587 Veitsbronn, Deutschland", "info@fablab-fuerth.de", "http://www.fablab-fuerth.de",,
FabLab Leipzig,"Hildegardstraße 51, 04315 Leipzig, Deutschland", "contact@fablab-leipzig.de", "http://www.fablab-leipzig.de",,
FabLab Lübeck,"Maria-Goeppert-Str. 1, 23562  Lübeck, Deutschland", "info@fablab-luebeck.de", "https://fablab-luebeck.de",,
FabLab Lüneburg e.V,"Fablab Lüneburg e.V., im e.novum, Munstermannskamp 1, 21335 Lüneburg, Deutschland", "hallo@fablab-lueneburg.org", "http://www.fablab-lueneburg.org",,
FabLab Lünen,"FabLab Mitmach-Werkstatt Lünen e.V., im Bürgerhaus Horstmar,, Lanstroper Str 6, 44532 Lünen, Deutschland", "info@fablab-luenen.de", "http://www.fablab-luenen.de",,
FabLab München e.V.,"Gewerbehof Westend, Gollierstraße 70, Eingang D, Erdgeschoss, Werkstatt und Bildungsräume, 80339 München, Deutschland", "info@fablab-muenchen.de", "http://www.fablab-muenchen.de",,
FabLab Münster,"Mendelstraße 11, 48149 Münster, Deutschland", "info@fablab-ms.de", "http://fablab-ms.de",,
FabLab Neckar-Alb e.V.,"Ulrichstraße 1, 72072 Tübingen, Deutschland", "info@fablab-neckar-alb.org", "https://www.fablab-neckar-alb.org/",,
FabLab Neuenstadt,"Öhringer Straße 24, 2 OG, 74196 Neuenstadt am Kocher, Deutschland", "soeren@oberndoerfer.de", "http://www.fablab-neuenstadt.de",,
FabLab Neustadt a.d. Aisch,"Spitalwall 16, 91438 Bad Windsheim, Deutschland", "team@jugendtreff-schneiderscheune.de", "http://www.fablab-nea.de/",,
Fablab Region Nürnberg,"Schwabacher Str. 512, 90763  Fürth, Deutschland", "info@fablab-nuernberg.de", "http://fablab-nuernberg.de",,
FabLab Rothenburg o.d.T. e.V.,"Deutschherrngasse 1, 91541  Rothenburg ob der Tauber, Deutschland", "vorstand@fablab-rothenburg.de", "http://www.fablab-rothenburg.de",,
FabLab Würzburg,"Veitshöchheimer-Str. 14, Eingang über Scanzonistr., 97080 Würzburg, Deutschland", "info@fablab-wuerzburg.de", "http://fablab-wuerzburg.de",,
FabLab-Bayreuth,"Ritter-von-Eitzenberger-Str. 19, 95448 Bayreuth, Deutschland", "soybaba@fablab-bayreuth.de", "http://www.fablab-bayreuth.de",,
FabLab-Bremen,"An der Weide 50a, 28195 Bremen, Deutschland", "info@fablab-bremen.org", "http://www.fablab-bremen.org",,
FabLab-Paderborn e.V.,"Schulze-Delitzsch-Strasse 16, 33100 Paderborn, Deutschland", "info@fablab-paderborn.de", "http://fablab-paderborn.de",,
FabLab-Siegen,"Kohlbettstr. 15, 57072 Siegen, Deutschland", "oliver.stickel@fablab-siegen.de", "http://www.fablab-siegen.de",,
FabLab-Thüringen,"An der Bundesstraße 3, 99706 Sondershausen / OT Oberspier, Deutschland", "info@fablab-thueringen.de", "http://www.fablab-thueringen.de",,
Fabmobil,"Jordanstrasse 16, 01099 Dresden, Deutschland", "sebastian@fabmobil.org", "http://www.fabmobil.org",,
Fabrique-Gängeviertel,"Valentinskamp, Caffamacherreihe, Speckstraße, 20355 Hamburg, Deutschland", "farbfabrique@das-gaengeviertel.info", "http://fabrique.das-gaengeviertel.info",,
FAHRbar,"Kaiserin-Augusta-Allee 98-100, 10553 Berlin, Deutschland", "fahrbar@moabiter-ratschlag.de", "http://moabiter-ratschlag.de/fahrbar",,
Fahrrad-und Verkehrs AG des AStA der TU Braunschweig,"Eulenstr. 5, 38114 Braunschweig, Deutschland", "info@fvag-bs.de", "http://www.fvag-bs.de/",,
Fahrradwerkstatt,"Kreutzerstr. 5-9, 50672 Köln, Deutschland", "ot@quaeker-nbh.de",,
Faradgang - Köln,"Koblenzer Str. 15, 50968 Köln, Deutschland", "mail@faradgang.de", "http://www.faradgang.de",,
Farbraum München,"Isartalstraße 44a, 80469 München, Deutschland", "kontakt@farbraum-münchen.de", "http://www.farbraum-münchen.de",,
FAU FABLAB,"Lehrstuhl für Informatik 3, c/o FAU FabLab, Martensstraße 3, 91058 Erlangen, Deutschland", "fablab-aktive@fablab.fau.de", "http://fablab.fau.de/",,
Filmhaus Köln,"Maybachstr. 111, 50670 Köln, Deutschland", "info@filmhaus.koeln", "http://www.filmhaus.koeln",,
Flicken? Berlin,"Waldemarstr. 57, 10997 Berlin, Deutschland", "info@flicken.berlin", "http://flicken.berlin/",,
flipdot hackerspace kassel,"Franz-Ulrich-Straße 18, 34117 Kassel, Deutschland", "com@flipdot.org", "http://flipdot.org/blog/",,
FLOW - Lernort Welt,"17268 Templin, Deutschland", "lernort-welt@web.de", "http://www.lernort-welt.de/",,
Frauenhandwerkstatt,"Elsässer Straße 4, 22049 Hamburg, Deutschland", "info@frauenhandwerkstatt.de", "http://www.frauenhandwerkstatt.de",,
Freies Labor Hildesheim,"Richthofenstr. 29, 31137 Hildesheim, Deutschland", "kontakt@freieslabor.org", "https://freieslabor.org",,
FREILab,"Ensisheimer Str. 4, 79110 Freiburg, Deutschland", "team@freilab.de", "http://www.freilab.de",,
Freiraum Hackerspace Ulm,"Platzgasse 18, 89073  Ulm, Deutschland", "vorstand@lists.hackerspace-ulm.de", "https://www.frrm.de",,
freischrauber*,"Friesenstrasse 124, 28203 Bremen, Deutschland", "freischrauber@posteo.de", "http://freischrauber.blogsport.de",,
FreiWerk Paderborn,"FreiWerk Paderborn, Königsplatz 10, 33098 Paderborn, Deutschland", "freiwerk-pb@posteo.de", "http://freiwerk-paderborn.de",,
GarageLab e.V.,"Rather Straße 25, 40476 Düsseldorf, Deutschland", "verein@garage-lab.de", "http://garage-lab.de",,
Gemeinschaftswerkstatt Spreisselwerk,"Leinestr. 20, 37574 Greene, Deutschland", "spreisselwerk@gelebteutopie.de", "https://gelebteutopie.de/spreisselwerk/",,
GESTA Aschaffenburg,"Haidstrasse 5, 63741 Aschaffenburg, Deutschland", "info@gesta-ev.de", "http://www.gesta-ev.de",,
GutAlaune,"Alaune 9, 06193 Petersberg, Deutschland", "gutalaune@riseup.net", "http://www.offene-werkstaetten.org/werkstatt/gutalaune",,
Hä?ppy Lab,"Tuchmacherstr. 18, 02625 Bautzen, Deutschland", "info@servicestelle-heimat.de", "https://servicestelle-heimat.de/projekte/haeppy-lab/",,
Habibi.Works,"2o klm E.O. KATSIKA - KOUTSELIO, ENANTI PALAIOU AERODROMIOU, ,, 45521 Katsikas, Ioannina, Griechenlandhello@habibi.works", "http://www.habibi.works",,
Hackerspace Bielefeld e.V.,"Sudbrackstr. 42, 33611 Bielefeld, Deutschland", "vorstand@hackerspace-bielefeld.de", "http://www.hackerspace-bielefeld.de",,
Hackerspace Bremen e.V.,"Bornstraße 14/15, 28195 Bremen, Deutschland", "info@hackerspace-bremen.de", "http://www.hackerspace-bremen.de",,
Hackerspace ffm,"Ludwig-Erhard-Str. 32 , 61440  Frankfurt, Deutschland", "public@hackerspace-ffm.de", "http://www.hackerspace-ffm.de",,
Hackerspace Saarbrücken,"St.-Josef-Straße 8, 66115 Saarbrücken, Deutschland", "offene-werkstaetten@hacksaar.de", "http://www.hacksaar.de",,
Hackerspace Turmlabor,"Helmholtzstr. 18
,
, , 01069 Dresden, Deutschland", "nachtsnochlicht@turmlabor.de", "http://www.turmlabor.de",,
Hacklabor,"Hagenower Straße 73, 19061  Schwerin, Deutschland", "inbox@hacklabor.de", "http://www.hacklabor.de",,
Hackspace Jena,"Krautgasse 26, 07743 Jena, Deutschland", "office@krautspace.de", "https://kraut.space",,
Hackspace Marburg,"Rudolf-Bultmann-Straße 2b, 35039 Marburg, Deutschland", "mail@hsmr.cc", "https://hsmr.cc",,
Hackspace Siegen,"Effertsufer 104, 57072 Siegen, Deutschland", "kontakt@hasi.it", "http://www.hasi.it",,
Hafven Coworking & Maker Space,"Kopernikusstr. 14, 30167 Hannover, Deutschland", "hallo@hafven.de", "http://hafven.de/makerspace/",,
Halle 36 e.V.,"Luisenstrasse 16, 14542 Werder, Deutschland", "info@halle36.org", "http://www.halle36.org",,
Hammertime Kassel,"Franz-Ulrich-Straße 16, 34117 Kassel, Deutschland", "hello@htks.de", "http://www.hammertimekassel.de",,
Happylab Berlin,"Demminer Straße 3, 13355 Berlin, Deutschland", "berlin@happylab.de", "http://www.happylab.de",,
Haus der Eigenarbeit,"Wörthstraße 42, 81667 München, Deutschland", "welcome@hei-muenchen.de", "http://www.hei-muenchen.de",,
Havelprater Lab,"HAVELPRATER
, Parkstrasse 1, 14798 Havelsee, Deutschland", "office@havelprater.com", "http://www.havelprater.com",,
haxko,"Koblenz,  Koblenz, Deutschland", "kontakt@haxko.space", "https://haxko.space/",,
Heart of Code,"Mariannenplatz 2 A, 10997 Berlin, Deutschland", "hello@heartofcode.org", "http://www.heartofcode.org",,
Hebewerk e.V.,"c/o Ingo Frost, Puschkinstraße 15, 16225 Eberswalde, Deutschland", "info@hebewerk-eberswalde.de", "http://www.hebewerk-eberswalde.de",,
Hemsbach repariert!,"Goethestrasse 34, 69502 Hemsbach, Deutschland", "info@hemsbach.net", "https://hemsbach.org/Reparieren",,
himmelsgrün malatelier,"Fuggerstraße 4-6, 81373 München, Deutschland", "post@himmelsgruen.de", "http://www.himmelsgruen.de",,
HOBBYHIMMEL,"Siemensstrasse 140, 70469 Stuttgart, Deutschland", "info@hobbyhimmel.de", "http://www.hobbyhimmel.de",,
HoFaLab,"Industriestraße 125-131, 21107  Hamburg, Deutschland", "info@hofalab.de", "http://www.hofalab.de",,
Holz- und Kunstwerkstatt des CDAD,"cdad / club der aktiven depressiven
, het kollektieftje / non-national & no-budget project
, c.o. Erik Kreutzmann
, Cloppenburger Strasse 35, 26135 Oldenburg, Deutschland", "info@papagena-musik.de", "http://www.tuer-harfen.de",,
holz.werk.stadt,"holz.werk.stadt, c/o Zentrum Aktiver Bürger , Gostenhofer Hauptstraße 63, 90443 Nürnberg, Deutschland", "holz.werk.stadt.90443@gmail.com", "https://www.facebook.com/Holz.Werk.Stadt.90443/",,
Holzhilfe,"An der Eisenbahn 2, 01099 Dresden, Deutschland", "werkstatt@holzhilfe.de", "http://www.holzhilfe.de",,
Holzkombinat,"Holzkombinat GbR
, Zöllnerstraße 18, 09111 Chemnitz, Deutschland", "info@holzkombinat.com", "http://holzkombinat.com",,
HolzOMA,"Wilhelmine-Gemberg-Weg 10 , 10179  Berlin, Deutschland", "info@oma-ggmbh.de", "http://omascafe.de/holzoma2/",,
Holzwerkstatt Gostenhof,"Adam-Klein-Straße 6, 90429 Nürnberg, Deutschland", "info@holzwerkstatt-gostenhof.de", "http://www.holzwerkstatt-gostenhof.de",,
Holzwerkstatt HausDrei,"Hospitalstr.107, 22767 Hamburg, Deutschland", "manfredtimpe@haus-drei.de", "http://www.haus-drei.de",,
Holzwerkstatt im Treffpunkt Freizeit,"Treffpunkt Freizeit
, Am Neuen Garten 64, 14469 Potsdam, Deutschland", "info@treffpunktfreizeit.de", "http://www.treffpunktfreizeit.de",,
Holzwerkstatt Regenbogenfabrik,"Lausitzer Str. 22, 10999 Berlin, Deutschland", "holz@regenbogenfabrik.de", "http://www.regenbogenfabrik.de/holz.html",,
Holzwerkstatt unartique,"nordhäuserstraße 23, 99089 Erfurt, Deutschland", "kontakt@unartique.eu", "http://www.unartique.eu",,
Holzwerkstättin KuBiZ Wallenberg,"Bernkasteler Str. 78, 13088 Berlin, Deutschland", "holzwerkstaettin@kubiz-wallenberg.de", "http://www.kubiz-wallenberg.de/?page_id=262&lang=de",,
Honigfabrik,"Industriestraße 125-131, 21107 Hamburg, Deutschland", "schulz.b@honigfabrik.de", "http://www.honigfabrik.de",,
Honolulu,"Georg-Schwarz-Straße 112, 04179 Leipzig, Deutschland", "honolulu@posteo.de", "http://www.honolululeipzig.blogspot.de",,
hubSchrauber,"Am Weidendamm 3, 10117 Berlin, Deutschland", "hubschrauber@refrat.hu-berlin.de", "http://www.refrat.hu-berlin.de/hubschrauber/",,
Ideenwerkstadt - Stuttgart,"Kegelenstr. 21, 70372 Stuttgart, Deutschland", "geschaeftsstelle@jugendhaus.net", "http://www.ideenwerkstadt.net",,
Illenau-Werkstätten e. V,"Illenauer Allee 54, 77855 Achern, Deutschland", "info@illenau-werkstaetten.de", "http://www.illenau-werkstaetten.de",,
Innovationswerkstatt Konstanz,"Blarerstr. 56, 78462 Konstanz, Deutschland", "kontakt@innovationswerkstatt.org", "http://www.innovationswerkstatt.org",,
IoT Lab,"Europaallee 12, 66113 Saarbrücken, Deutschland", "christina.krahl@ergosign.de",,
Jugendkulturhaus Dynamo,"Jugendkulturhaus Dynamo
, Wasserwerkstrasse 21, 8006 Zürich, Schweiz", "info@dynamo.ch", "http://www.dynamo.ch",,
Kabutze,"Friedrich-Loeffler-Straße 44a, 17489 Greifswald, Deutschland", "info@kabutze-greifswald.de", "http://www.kabutze-greifswald.de",,
Kalle,"Kornstraße 283, 28201 Bremen, Deutschland", "moin@kalle-co-werkstatt.de", "http://www.kalle-co-werkstatt.de",,
Kanal,"Kiefholzstr 74, 12057 Berlin, Deutschland", "kanal@squat.net", "https://kanal.squat.net/",,
Kanthaus," Kantstraße 20, 04808 Wurzen, hello@kanthaus.online", "https://kanthaus.online/de/projects/repaircafe",,
KAOS,"Wilhelminenhofstr. 92, 12459 Berlin, Deutschland", "info@kaosberlin.de", "http://www.kaosberlin.de",,
Keller 5 - die offene Fahrradwerkstatt,"Hauptstätter Straße 119-121, Hinterhaus, 70178 Stuttgart, Deutschland", "fahrradwerkstatt@freundeskreis-süd.de", "https://fkreissued.wordpress.com/keller-5-die-offene-fahrradwerkstatt/",,
Kempodium,"Untere Eicher Strasse 3, 87435 Kempten, Deutschland", "info@kempodium.de", "http://www.kempodium.de",,
KLAX - Kreativwerkstatt,"Schönhauser Allee 59, 10437 Berlin, Deutschland", "hallo@kreativ­werkstatt.de", "http://www.kreativwerkstatt.de",,
KlimaWerkStadt,"Westerstraße 58, 28199 Bremen, Deutschland", "info@klimawerkstadt-bremen.de", "http://www.klimawerkstadt-bremen.de",,
Kofferwerkstatt,"Hirschenstrasse 58, 90762 Fürth, Deutschland", "kofferwerkstatt@gmx.de", "https://kofferwerkstatt.wordpress.com",,
KoLab,"Uni Campus Koblenz, Universitätsstraße 1, Werkstatt F139, 56070 Koblenz, Deutschland", "kolab@uni-koblenz.de", "http://www.kolab-koblenz.de",,
KonRad,"Goethestr. 127 , 85055  Ingolstadt, Deutschland", "stadtteiltreff-konradviertel@ingolstadt.de", "https://www.in-kb.de/Leben-in-Ingolstadt/Planen-Bauen/Ingolstadt-baut/Soziale-Stadt/Konradviertel/Aktivitäten/index.php?La=1&NavID=465.699&object=tx,465.3519.1&kat=&kuo=2&sub=0",,
KreativGarage im Ackermannbogen,"Rosa-Aschenbrenner-Bogen 9, 80797 München, Deutschland", "kreativgarage@ackermannbogen-ev.de", "http://www.ackermannbogen-ev.de/gemeinschaftsraeume/kreativgarage.html",,
"Kreativlabor ""Teilen und Herrschen""","Posener Str. 22, 23552 Lübeck, Deutschland", "info@teilen-und-herschen.de", "http://teilen-und-herrschen.de",,
